Date,min Temperature [C],max Temperature [C],mean temperature [C],GDD [C],DAP,Cum_GDD [C]
2020-06-02,18.28,30.0,24.14,14.14,1,14.14
2020-06-03,18.89,30.0,24.445,14.445,2,28.585
2020-06-04,17.89,28.56,23.225,13.225000000000001,3,41.81
2020-06-05,19.39,30.0,24.695,14.695,4,56.505
2020-06-06,19.61,30.0,24.805,14.805,5,71.31
2020-06-07,21.06,30.0,25.53,15.530000000000001,6,86.84
2020-06-08,20.33,30.0,25.165,15.165,7,102.005
2020-06-09,22.0,30.0,26.0,16.0,8,118.005
2020-06-10,14.83,24.33,19.58,9.579999999999998,9,127.585
2020-06-11,12.72,28.33,20.525,10.524999999999999,10,138.10999999999999
2020-06-12,16.78,30.0,23.39,13.39,11,151.5
2020-06-13,18.06,30.0,24.03,14.030000000000001,12,165.53
2020-06-14,17.72,30.0,23.86,13.86,13,179.39
2020-06-15,18.17,30.0,24.085,14.085,14,193.475
2020-06-16,16.89,28.67,22.78,12.780000000000001,15,206.255
2020-06-17,16.44,30.0,23.22,13.219999999999999,16,219.475
2020-06-18,17.78,30.0,23.89,13.89,17,233.365
2020-06-19,19.89,30.0,24.945,14.945,18,248.31
2020-06-20,19.83,28.5,24.165,14.165,19,262.475
2020-06-21,19.22,30.0,24.61,14.61,20,277.08500000000004
2020-06-22,20.06,29.06,24.56,14.559999999999999,21,291.64500000000004
2020-06-23,16.78,26.17,21.475,11.475000000000001,22,303.12000000000006
2020-06-24,14.67,28.06,21.365,11.364999999999998,23,314.48500000000007
2020-06-25,16.33,30.0,23.165,13.165,24,327.6500000000001
2020-06-26,21.17,30.0,25.585,15.585,25,343.23500000000007
2020-06-27,20.61,26.94,23.775,13.774999999999999,26,357.01000000000005
2020-06-28,22.17,30.0,26.085,16.085,27,373.095
2020-06-29,23.39,30.0,26.695,16.695,28,389.79
2020-06-30,21.22,28.61,24.915,14.915,29,404.70500000000004
2020-07-01,20.78,27.78,24.28,14.280000000000001,30,418.985
2020-07-02,20.0,30.0,25.0,15.0,31,433.985
2020-07-03,22.89,30.0,26.445,16.445,32,450.43
2020-07-04,23.11,30.0,26.555,16.555,33,466.985
2020-07-05,21.06,30.0,25.53,15.530000000000001,34,482.515
2020-07-06,22.0,30.0,26.0,16.0,35,498.515
2020-07-07,21.78,30.0,25.89,15.89,36,514.405
2020-07-08,22.06,30.0,26.03,16.03,37,530.435
2020-07-09,22.17,30.0,26.085,16.085,38,546.52
2020-07-10,19.39,30.0,24.695,14.695,39,561.215
2020-07-11,20.72,30.0,25.36,15.36,40,576.575
2020-07-12,20.67,30.0,25.335,15.335,41,591.9100000000001
2020-07-13,19.0,30.0,24.5,14.5,42,606.4100000000001
2020-07-14,19.94,30.0,24.97,14.969999999999999,43,621.3800000000001
2020-07-15,20.22,29.89,25.055,15.055,44,636.4350000000001
2020-07-16,17.06,30.0,23.53,13.530000000000001,45,649.965
2020-07-17,21.56,30.0,25.78,15.780000000000001,46,665.745
2020-07-18,23.5,30.0,26.75,16.75,47,682.495
2020-07-19,20.94,30.0,25.47,15.469999999999999,48,697.965
2020-07-20,21.28,28.22,24.75,14.75,49,712.715
2020-07-21,21.78,29.72,25.75,15.75,50,728.465
2020-07-22,21.44,30.0,25.72,15.719999999999999,51,744.1850000000001
2020-07-23,21.28,30.0,25.64,15.64,52,759.825
2020-07-24,21.89,30.0,25.945,15.945,53,775.7700000000001
2020-07-25,22.83,30.0,26.415,16.415,54,792.1850000000001
2020-07-26,23.11,30.0,26.555,16.555,55,808.74
2020-07-27,22.28,29.22,25.75,15.75,56,824.49
2020-07-28,19.33,30.0,24.665,14.665,57,839.155
