Year,Location,State,City,Plot length (center-center in feet),Plot area (ft2),Plot area (ha),Alley length (in inches),Row spacing (in inches),Rows per plot,Kernels/Packet,# Seed per plot,Exp,Source,Pedigree,Family,Tester,Rep,Plot,Plot_ID,FIELD,Range,Row,Date Plot Planted [MM/DD/YY],Date Plot Harvested [MM/DD/YY],Pollen Date [MM/DD/YY],Silk Date [MM/DD/YY],DTA,DTS,Plant Height [cm],Ear Height [cm],Stand Count [# of plants],Root Lodging [# of plants],Stalk Lodging [# of plants],Grain Moisture [%],Test Weight [lbs],Plot Weight [lbs],Plot Weight [Mg],Yield,Yield_Mg_per_ha,Yield_bu_per_ac,"Plot Discarded [enter ""yes"" or blank]",Comments,"Filler [enter ""filler"" or blank]",subs
2020,MOH1,MO,Columbia,20,85,0.000789676,36,30,2,35,70,G2F_PHZ51,WIPV19/50372B,W10004_0121 X PHZ51,W10004,PHZ51,1,1,1015193,C5a,101,101,6/2/2020,10/19/2020,7/28/2020,7/31/2020,56,59,242,111,50,0,0,12.5,,11.33,0.005139197,6.507981755,6.7390391,107.3648625,,,,
2020,MOH1,MO,Columbia,20,85,0.000789676,36,30,2,35,70,G2F_PHZ51,WIPV19/50182B,W10004_0220 X PHZ51,W10004,PHZ51,1,2,1015194,C5a,101,102,6/2/2020,10/19/2020,7/29/2020,7/29/2020,57,57,240,94,50,0,1,13.4,,15.28,0.006930886,8.776873047,8.995001903,143.3063569,,,,
2020,MOH1,MO,Columbia,20,85,0.000789676,36,30,2,35,70,G2F_PHZ51,WIPV19/50126B,W10004_0619 X PHZ51,W10004,PHZ51,1,3,1015195,C5a,101,103,6/2/2020,10/19/2020,7/28/2020,7/27/2020,56,55,260,167,44,0,3,13.2,,12.18,0.005524751,6.996225034,7.186658806,114.4962395,,,,
2020,MOH1,MO,Columbia,20,85,0.000789676,36,30,2,35,70,G2F_PHZ51,WIPV19/50167B,W10004_0072 X PHZ51,W10004,PHZ51,1,4,1015196,C5a,101,104,6/2/2020,10/19/2020,7/27/2020,7/27/2020,55,55,261,110,50,0,1,13.1,,15.72,0.007130466,9.029609612,9.286078089,147.9437176,,,,
2020,MOH1,MO,Columbia,20,85,0.000789676,36,30,2,35,70,G2F_PHZ51,WIPV19/50233B,W10004_1032 X PHZ51,W10004,PHZ51,1,5,1015197,C5a,101,105,6/2/2020,10/19/2020,7/25/2020,7/25/2020,53,53,225,87,50,0,0,12.9,,14.49,0.006572548,8.323094535,8.579195288,136.681819,,,,
2020,MOH1,MO,Columbia,20,85,0.000789676,36,30,2,35,70,G2F_PHZ51,WIPV19/50071B,W10004_0966 X PHZ51,W10004,PHZ51,1,6,1015198,C5a,101,106,6/2/2020,10/19/2020,7/25/2020,7/26/2020,53,54,239,82,50,1,1,13.3,,15.3,0.006939958,8.788361303,9.017175899,143.6596281,,,,
2020,MOH1,MO,Columbia,20,85,0.000789676,36,30,2,35,70,G2F_PHZ51,WIPV19/50301B,W10004_0746 X PHZ51,W10004,PHZ51,1,7,1015199,C5a,101,107,6/2/2020,10/19/2020,7/27/2020,7/28/2020,55,56,156,122,50,0,4,13.6,,13.26,0.00601463,7.616579458,7.787844652,124.0741978,,,,
2020,MOH1,MO,Columbia,20,85,0.000789676,36,30,2,35,70,G2F_PHZ51,WIPV19/50144B,W10004_0132 X PHZ51,W10004,PHZ51,1,8,1015200,C5a,101,108,6/2/2020,10/19/2020,7/26/2020,7/28/2020,54,56,243,91,50,0,0,12.4,,12.03,0.005456712,6.910064381,7.163573922,114.1284563,,,,
2020,MOH1,MO,Columbia,20,85,0.000789676,36,30,2,35,70,G2F_PHZ51,TBD - MURRAY 2,TX714 X TX779,Yellow Stripe,,1,9,1015201,C5a,101,109,6/2/2020,10/19/2020,8/5/2020,8/7/2020,64,66,263,150,35,0,0,18.2,,15.52,0.007039748,8.914729585,8.629885506,137.4894042,,,,
2020,MOH1,MO,Columbia,20,85,0.000789676,36,30,2,35,70,G2F_PHZ51,WIPV19/50207B,W10004_0956 X PHZ51,W10004,PHZ51,1,10,1015202,C5a,101,110,6/2/2020,10/19/2020,7/26/2020,7/27/2020,54,55,262,110,50,0,4,14.1,,16.89,0.007661169,9.701661188,9.86240486,157.1256267,,,,
