Hybrid,Yield,DTA,DTS,PHT,EHT
B14A/H95,7.211381139,56.68049524,58.04236377,229.9598463,103.3801334
B14A/MO17,9.305772373,56.06708457,57.11343218,242.3802352,108.6064834
B14A/OH43,9.853619169,55.15783908,55.44505388,246.557929,109.4713164
B37/H95,8.324972509,56.74202465,59.9754176,237.8717317,95.25528611
B37/MO17,6.9251141,56.23553551,59.25936974,239.4103941,105.6658835
B37/OH43,7.447449185,54.20520398,56.48389892,239.3752433,98.31061909
B73/MO17,10.29272023,54.94516738,56.94603213,247.4800072,119.45855
B73/PHM49,6.085644011,54.24516413,56.00558434,213.7123733,103.937315
B73/PHN82,8.90889728,54.59946134,56.17827466,232.7047492,101.8367499
B73/TX779,9.01865292,59.77620045,63.19358054,246.9911001,126.3654832
CG44/CGR01,6.80587881,48.34109539,49.18897509,193.9955933,82.45966037
CG119/CG108,4.559692006,46.26606366,47.46110098,165.6636351,76.2409528
F42/H95,8.496986681,54.35448831,55.51607104,227.9811739,97.11982854
F42/MO17,9.181653092,54.36265316,56.92665355,251.3674682,113.0477369
F42/OH43,8.311247558,53.65665176,54.90891667,239.3157257,107.595461
LH74/PHN82,8.34319991,52.64545191,53.26677864,202.5677775,89.71542164
LH82/TX779,8.945096647,61.33625443,64.33486759,226.3335463,121.2345254
PB80/TX779,9.112563341,61.12599814,63.4929221,223.9904385,115.2364625
PHB47/PHN82,7.826003445,54.29218033,55.49105465,214.5056605,87.3664313
PHG39/PHN82,7.29945276,56.71986458,58.16858913,226.8078126,97.35967536
PHW52/PHM49,7.421951595,56.1634954,58.2250713,229.1530531,98.03308544
PHW52/PHN82,6.94113705,55.03405263,57.2205389,216.4965097,82.89634637
TX714/TX779,9.011682784,62.08955119,64.33428907,258.1123634,149.7411935
TX773/TX779,11.97528467,67.93458467,71.83612219,241.2944787,146.9827647
TX777/LH195,10.07404615,64.30447973,66.01594181,248.4258861,121.7509705
TX779/LH195,9.302009881,61.16805189,61.94897968,219.8981728,114.2744748
W10004_0006/PHK76,9.00955679,48.61390877,49.74068571,216.8985265,102.351654
W10004_0006/PHP02,8.500112075,49.7022042,50.67355359,215.4716305,96.21900758
W10004_0006/PHZ51,8.559477473,51.97104589,53.35075976,238.6253148,101.0876642
W10004_0007/PHK76,6.955191993,52.28901612,52.57486954,207.587581,89.2036739
W10004_0007/PHP02,9.523861577,51.22799723,51.51427195,204.8536697,91.02132727
W10004_0007/PHZ51,10.04142249,54.49536074,54.48954979,238.7257195,105.4464001
W10004_0008/PHK76,NA,52.67474092,52.88937989,210.8995633,105.6127541
W10004_0008/PHP02,10.11464029,50.46044393,51.34408865,239.1247188,125.5905375
W10004_0008/PHZ51,8.559771063,53.11958865,54.9617097,239.9331261,99.31050527
W10004_0010/PHK76,6.589283694,51.76126908,52.72172699,238.3856855,116.6430341
W10004_0010/PHP02,7.937195747,52.9191965,53.65989845,250.7564704,116.5043461
