Var. Component,var1,var2,vcov,sdcor,Percent,RMSE,Heritability,Rsquared,Flight,Type
Pedigree,(Intercept),NA,0,0,0,0.004585271,0,0.761414708,9,Single
Row,(Intercept),NA,6.01E-05,0.007749683,62.9943353,0.004585271,0,0.761414708,9,Single
Range,(Intercept),NA,1.24E-05,0.003525644,13.0379854,0.004585271,0,0.761414708,9,Single
Rep,(Intercept),NA,1.04E-07,0.000322586,0.1091501,0.004585271,0,0.761414708,9,Single
Residual,NA,NA,2.27E-05,0.004769304,23.8585292,0.004585271,0,0.761414708,9,Single
Pedigree,(Intercept),NA,0,0,0,0.007649796,0,0.572145707,10,Single
Row,(Intercept),NA,7.65E-05,0.008744221,51.9855868,0.007649796,0,0.572145707,10,Single
Range,(Intercept),NA,7.69E-06,0.002773245,5.2289839,0.007649796,0,0.572145707,10,Single
Rep,(Intercept),NA,0,0,0,0.007649796,0,0.572145707,10,Single
Residual,NA,NA,6.29E-05,0.00793282,42.7854293,0.007649796,0,0.572145707,10,Single
Pedigree,(Intercept),NA,9.23E-07,0.000960921,1.4369115,0.003731509,0.1042363,0.753035524,15,Single
Row,(Intercept),NA,3.96E-05,0.006290901,61.5857283,0.003731509,0.1042363,0.753035524,15,Single
Range,(Intercept),NA,4.51E-06,0.002122922,7.0133022,0.003731509,0.1042363,0.753035524,15,Single
Rep,(Intercept),NA,3.39E-06,0.001839838,5.2676104,0.003731509,0.1042363,0.753035524,15,Single
Residual,NA,NA,1.59E-05,0.003983731,24.6964476,0.003731509,0.1042363,0.753035524,15,Single
Pedigree,(Intercept),NA,9.86E-07,0.000993197,0.8125068,0.005682265,0.052153801,0.704669077,17,Single
Row,(Intercept),NA,6.22E-05,0.007887752,51.2462767,0.005682265,0.052153801,0.704669077,17,Single
Range,(Intercept),NA,2.08E-05,0.004563765,17.1554577,0.005682265,0.052153801,0.704669077,17,Single
Rep,(Intercept),NA,1.52E-06,0.001233218,1.2526664,0.005682265,0.052153801,0.704669077,17,Single
Residual,NA,NA,3.59E-05,0.005987928,29.5330923,0.005682265,0.052153801,0.704669077,17,Single
Pedigree,(Intercept),NA,1.46E-05,0.003818499,8.5748377,0.007731453,0.279446443,0.557795062,22,Single
Row,(Intercept),NA,3.31E-05,0.005756486,19.4874739,0.007731453,0.279446443,0.557795062,22,Single
Range,(Intercept),NA,4.58E-05,0.006767174,26.931169,0.007731453,0.279446443,0.557795062,22,Single
Rep,(Intercept),NA,1.34E-06,0.001156107,0.7860255,0.007731453,0.279446443,0.557795062,22,Single
Residual,NA,NA,7.52E-05,0.008671446,44.2204938,0.007731453,0.279446443,0.557795062,22,Single
Pedigree,(Intercept),NA,1.56E-05,0.003944951,12.3499925,0.0058066,0.402290652,0.633016282,24,Single
Row,(Intercept),NA,3.62E-05,0.006016358,28.7243908,0.0058066,0.402290652,0.633016282,24,Single
Range,(Intercept),NA,8.55E-06,0.002923739,6.783608,0.0058066,0.402290652,0.633016282,24,Single
Rep,(Intercept),NA,1.95E-05,0.004411467,15.443637,0.0058066,0.402290652,0.633016282,24,Single
Residual,NA,NA,4.62E-05,0.006800356,36.6983718,0.0058066,0.402290652,0.633016282,24,Single
Pedigree,(Intercept),NA,2.35E-05,0.004851701,4.6071093,0.008224301,0.344654724,0.824795825,27,Single
Row,(Intercept),NA,0.000203771,0.014274831,39.8824983,0.008224301,0.344654724,0.824795825,27,Single
Range,(Intercept),NA,0.000194101,0.013932026,37.9899731,0.008224301,0.344654724,0.824795825,27,Single
Rep,(Intercept),NA,9.11E-12,3.02E-06,1.78E-06,0.008224301,0.344654724,0.824795825,27,Single
Residual,NA,NA,8.95E-05,0.009461326,17.5204175,0.008224301,0.344654724,0.824795825,27,Single
Pedigree,(Intercept),NA,3.94E-05,0.006276851,7.7281497,0.012469467,0.286048611,0.614224783,30,Single
Row,(Intercept),NA,0.000223217,0.014940432,43.7842766,0.012469467,0.286048611,0.614224783,30,Single
Range,(Intercept),NA,5.05E-05,0.007107912,9.910052,0.012469467,0.286048611,0.614224783,30,Single
Rep,(Intercept),NA,9.01E-14,3.00E-07,1.77E-08,0.012469467,0.286048611,0.614224783,30,Single
Residual,NA,NA,0.000196672,0.014023979,38.5775217,0.012469467,0.286048611,0.614224783,30,Single
Pedigree,(Intercept),NA,3.84E-05,0.006200381,10.474781,0.008451761,0.432485312,0.725096233,32,Single
Row,(Intercept),NA,8.95E-05,0.009458058,24.3731747,0.008451761,0.432485312,0.725096233,32,Single
