Pedigree,Height.15,Height.17,Height.22,Height.24,Height.27,Height.30,Height.32,Height.37,Height.39,Height.41,Height.45,Height.48,Height.51,Height.56,Height.60,Height.62,Height.69,Height.73,Height.76,Height.80,Height.83,Height.87,Height.90,Height.99,Height.101,Height.104,Height.107,Height.111,Height.114,Height.118,Height.122,Height.126
2369 X LH123HT,0.045480507,0.062206616,0.142768765,0.196208179,0.305761968,0.455354841,0.578431855,0.95876615,1.130925177,1.306460599,1.640968235,1.853052972,2.016811939,2.18070476,2.238138704,2.252178627,2.268197439,2.269502975,2.269766883,2.269878295,2.269911512,2.26993659,2.269933751,2.26996997,2.26997268,2.269975895,2.269978306,2.269980597,2.269981804,2.269937827,2.269983673,2.269984153
B14A X H95,-0.017704786,-0.001201918,0.076205192,0.126751395,0.229577226,0.369302239,0.484198111,0.841492786,1.005325447,1.174414469,1.504839523,1.722771437,1.898379089,2.085502348,2.156554688,2.174988074,2.198041884,2.200597503,2.201299572,2.201668225,2.201774538,2.20183393,2.201837414,2.201880173,2.201883193,2.201886757,2.201889424,2.201891957,2.201893291,2.201844679,2.201895357,2.201895887
B14A X MO17,0.055775427,0.069707363,0.138955628,0.18604611,0.284449668,0.421903888,0.537209451,0.90472248,1.07657511,1.255578109,1.608862534,1.843099227,2.031136703,2.227167479,2.297084994,2.313737848,2.331159349,2.332239897,2.33243212,2.33251881,2.332549132,2.332573713,2.332570847,2.332607063,2.332609773,2.332612988,2.3326154,2.33261769,2.332618898,2.33257492,2.332620766,2.332621246
B14A X OH43,0.004548197,0.022635854,0.106657578,0.161027563,0.27080245,0.418629235,0.539280828,0.910461438,1.078986086,1.251969463,1.587494652,1.807140879,1.983294104,2.170403096,2.24136386,2.259708946,2.282011965,2.284091799,2.284551008,2.284747747,2.284799377,2.284832041,2.284829598,2.284869814,2.28487281,2.284876364,2.28487903,2.284881562,2.284882896,2.284834284,2.284884962,2.284885492
B37 X H95,0.012813115,0.029389398,0.106474058,0.15640588,0.257339719,0.393548819,0.505006604,0.850029346,1.008075022,1.171542558,1.49375709,1.710580848,1.890657517,2.09521237,2.182599186,2.207911978,2.244107791,2.248650022,2.24978973,2.250279542,2.250386813,2.250436141,2.25043686,2.250474136,2.250476851,2.250480068,2.25048248,2.250484771,2.250485978,2.250442001,2.250487846,2.250488327
B37 X MO17,0.046829709,0.062225898,0.136379636,0.185679713,0.28715061,0.426719536,0.542531772,0.907009501,1.075859365,1.251020658,1.595140986,1.822340901,2.004115421,2.19291722,2.260564491,2.27705017,2.295542137,2.296987029,2.297274059,2.29739427,2.297429246,2.297454867,2.297452088,2.297488319,2.297491028,2.297494243,2.297496655,2.297498945,2.297500153,2.297456176,2.297502021,2.297502501
B37 X OH43,0.035742669,0.051043573,0.125879954,0.176098183,0.279929865,0.423118024,0.541910919,0.913886061,1.084635017,1.260355431,1.600394688,1.820256597,1.992868771,2.168403252,2.230187467,2.245134777,2.261832135,2.263142942,2.263405356,2.263516153,2.263549288,2.263574347,2.263571505,2.263607724,2.263610434,2.263613648,2.26361606,2.263618351,2.263619558,2.263575581,2.263621427,2.263621907
B73 X MO17,0.066027866,0.082778589,0.164086496,0.218275447,0.329672631,0.482208899,0.607994006,0.998325389,1.175983759,1.357942136,1.707723114,1.932274386,2.107534748,2.284065783,2.344889735,2.359190499,2.374363839,2.375426177,2.375635216,2.375729823,2.375761157,2.375785908,2.375783049,2.375819267,2.375821977,2.375825191,2.375827603,2.375829894,2.375831101,2.375787124,2.37583297,2.37583345
B73 X PHM49,-0.021621924,-0.005076756,0.074838863,0.127981318,0.237139448,0.386529387,0.509665008,0.891168755,1.064263887,1.240981021,1.578333022,1.792534215,1.957798302,2.121715194,2.17736963,2.190463318,2.204667782,2.205824213,2.20610166,2.206254339,2.206311757,2.2063587,2.20635322,2.206422435,2.206427613,2.206433757,2.206438366,2.206442744,2.206445051,2.206361006,2.206448622,2.20644954
B73 X PHN82,0.027390623,0.041957503,0.11316988,0.160965069,0.259868847,0.396520815,0.510177777,0.868240345,1.033968187,1.205632202,1.541773491,1.762627781,1.938479155,2.119693403,2.183432002,2.198528672,2.214522068,2.215588136,2.21577887,2.215855579,2.215878876,2.215896874,2.215894808,2.215921026,2.215922988,2.215925315,2.215927061,2.215928719,2.215929593,2.215897758,2.215930946,2.215931293
B73 X TX779,0.08731221,0.104227575,0.183856753,0.235819115,0.341276876,0.484064058,0.601113351,0.963831072,1.12994673,1.301618781,1.639253445,1.865547279,2.052591594,2.26340656,2.352517415,2.378132792,2.414392245,2.418808798,2.419873751,2.420306079,2.420394245,2.420434268,2.420433017,2.420469534,2.420472244,2.420475459,2.420477871,2.420480161,2.420481369,2.420437392,2.420483237,2.420483717
CG119 X CG108,-0.126317415,-0.112426699,-0.041406369,0.008669906,0.117252827,0.275831733,0.412753589,0.844927409,1.029035661,1.199381733,1.466227287,1.603056076,1.697592659,1.784114492,1.812075726,1.818621369,1.825883035,1.826519394,1.826677458,1.826765507,1.826798711,1.826825863,1.826822693,1.826862727,1.826865722,1.826869276,1.826871942,1.826874474,1.826875809,1.826827197,1.826877874,1.826878405
CG44 X CGR01,-0.002220906,0.011654346,0.082590677,0.131973128,0.236893653,0.385554714,0.51082586,0.903356926,1.078620897,1.252323688,1.560138856,1.732929286,1.851170908,1.953576303,1.98429246,1.991099582,1.998254269,1.998839634,1.998983091,1.99906278,1.999092819,1.999117382,1.999114515,1.999150731,1.999153441,1.999156656,1.999159068,1.999161358,1.999162566,1.999118588,1.999164434,1.999164914
F42 X H95,0.030562387,0.047923384,0.128204143,0.180089312,0.284901549,0.426274113,0.541887062,0.898941369,1.061770652,1.229412127,1.556228917,1.771627436,1.945517917,2.132000351,2.203660801,2.222388378,2.245617398,2.2479854,2.248581369,2.248877121,2.248961122,2.249009258,2.249011279,2.249049535,2.249052264,2.249055487,2.249057901,2.249060192,2.249061399,2.249017422,2.249063267,2.249063748
F42 X MO17,0.020939249,0.039951261,0.129157535,0.187237658,0.304848727,0.463472213,0.592880719,0.989299637,1.16788373,1.349891881,1.697731291,1.920053844,2.093586952,2.270268254,2.330174449,2.349359512,2.367812831,2.369446906,2.369803722,2.369957104,2.369996804,2.370020626,2.370019472,2.370045961,2.370047924,2.370050251,2.370051997,2.370053655,2.370054529,2.370022694,2.370055882,2.370056229
F42 X OH43,0.022807258,0.04149611,0.129784523,0.187459461,0.304344668,0.461867771,0.590110924,0.980585727,1.154948046,1.331394228,1.664158866,1.872805621,2.032455023,2.189950444,2.243589733,2.256340433,2.270415024,2.271590991,2.271872307,2.272025829,2.2720833,2.272130247,2.272124768,2.272193982,2.272199161,2.272205304,2.272209914,2.272214291,2.272216599,2.272132553,2.27222017,2.272221087
LH195 X TX779,0.005808893,0.024686216,0.108096443,0.160386624,0.264061798,0.401392114,0.512340953,0.850596972,1.003645894,1.160978905,1.468757141,1.674601986,1.845400566,2.041434407,2.128629393,2.155418818,2.199225824,2.207224656,2.210135136,2.212102479,2.212856589,2.213392227,2.213586458,2.213821716,2.213835688,2.213848186,2.213854889,2.213859427,2.21386123,2.21381753,2.21386345,2.213863949
LH74 X PHN82,-0.03649637,-0.017851532,0.069444955,0.126029979,0.23999493,0.392458297,0.515840827,0.888472251,1.053747128,1.220497254,1.534122667,1.730662397,1.881408888,2.031161518,2.082778564,2.09510284,2.108560348,2.109555103,2.109754191,2.109845755,2.109876716,2.109901402,2.109898541,2.109934758,2.109937468,2.109940682,2.109943094,2.109945385,2.109946592,2.109902615,2.10994846,2.109948941
LH82 X TX779,0.003466447,0.022133751,0.10651399,0.159989496,0.266428865,0.407685689,0.521818985,0.86937329,1.02639267,1.187676534,1.502909036,1.713604452,1.888300499,2.088061103,2.175591748,2.201837228,2.24216614,2.248291675,2.250117727,2.251055754,2.251298009,2.251410257,2.251424016,2.251466347,2.251469098,2.251472328,2.251474742,2.251477033,2.25147824,2.251434263,2.251480109,2.251480589
LOCAL_CHECK,0.063165943,0.079988289,0.161545986,0.21584721,0.327335011,0.479621431,0.604801864,0.990240776,1.163751152,1.339870727,1.672609239,1.880750032,2.038915413,2.192525447,2.243444991,2.255229537,2.267738314,2.268644006,2.268830061,2.268918925,2.268949707,2.268974374,2.268971511,2.269007728,2.269010438,2.269013653,2.269016065,2.269018355,2.269019563,2.268975585,2.269021431,2.269021911
PB80 X TX779,0.058670392,0.073332703,0.143368826,0.189631761,0.284436087,0.414302454,0.521821407,0.860139286,1.01745683,1.181549216,1.508788573,1.731522321,1.917624019,2.128755347,2.217268785,2.242193517,2.275847041,2.279433749,2.280199862,2.280479346,2.280535059,2.280564909,2.280562432,2.2805987,2.280601409,2.280604624,2.280607036,2.280609327,2.280610534,2.280566557,2.280612402,2.280612882
PHB47 X PHN82,-0.03115983,-0.013833348,0.067959474,0.121400199,0.229808784,0.376224741,0.495759925,0.862111773,1.027169925,1.195378022,1.516736399,1.721936378,1.881731242,2.043019446,2.099354483,2.112894391,2.12787489,2.129042808,2.129283226,2.129389941,2.129423133,2.129448328,2.129445509,2.129481732,2.129484442,2.129487657,2.129490069,2.129492359,2.129493567,2.129449589,2.129495435,2.129495915
PHG39 X PHN82,0.059330646,0.075454151,0.152286449,0.202927632,0.306439855,0.447584037,0.563774989,0.924369402,1.088797442,1.257534287,1.583304729,1.794238192,1.961232489,2.136091999,2.202348885,2.21978583,2.241872596,2.244114086,2.244619081,2.244827063,2.244876652,2.24490607,2.244903668,2.244939964,2.244942673,2.244945888,2.2449483,2.24495059,2.244951798,2.244907821,2.244953666,2.244954146
PHW52 X PHM49,0.020449614,0.037771405,0.117843995,0.169526229,0.273765466,0.414063156,0.528572812,0.881117729,1.041375102,1.206030075,1.525932116,1.735786913,1.904360353,2.083640904,2.151634856,2.169211887,2.190728748,2.192832552,2.193322919,2.193540095,2.193595969,2.193628975,2.193627356,2.193663938,2.193666649,2.193669864,2.193672276,2.193674567,2.193675774,2.193631797,2.193677642,2.193678123
PHW52 X PHN82,-0.002505948,0.013120177,0.088596213,0.138793664,0.24196378,0.383376596,0.500197945,0.864282057,1.030908614,1.202253921,1.533960396,1.749031721,1.918674458,2.092633737,2.154423869,2.169363091,2.185660711,2.186805568,2.187019624,2.18711306,2.187144036,2.187168712,2.187165849,2.187202067,2.187204776,2.187207991,2.187210403,2.187212693,2.187213901,2.187169924,2.187215769,2.187216249
