"","Height","interaction","Pedigree","DAP","Height2","Tester"
"961",0.157359365914771,"W10004_0006 X PHK76:15","W10004_0006 X PHK76",15,0.157359365914771,"PHK76"
"962",0.173963997102253,"W10004_0006 X PHK76:17","W10004_0006 X PHK76",17,0.173963997102253,"PHK76"
"963",0.255557544004221,"W10004_0006 X PHK76:22","W10004_0006 X PHK76",22,0.255557544004221,"PHK76"
"964",0.310521610809153,"W10004_0006 X PHK76:24","W10004_0006 X PHK76",24,0.310521610809153,"PHK76"
"965",0.424319195911732,"W10004_0006 X PHK76:27","W10004_0006 X PHK76",27,0.424319195911732,"PHK76"
"966",0.580943269771066,"W10004_0006 X PHK76:30","W10004_0006 X PHK76",30,0.580943269771066,"PHK76"
"967",0.710124760828317,"W10004_0006 X PHK76:32","W10004_0006 X PHK76",32,0.710124760828317,"PHK76"
"968",1.10660197260436,"W10004_0006 X PHK76:37","W10004_0006 X PHK76",37,1.10660197260436,"PHK76"
"969",1.28291224663913,"W10004_0006 X PHK76:39","W10004_0006 X PHK76",39,1.28291224663913,"PHK76"
"970",1.45953282060508,"W10004_0006 X PHK76:41","W10004_0006 X PHK76",41,1.45953282060508,"PHK76"
"971",1.78435798833989,"W10004_0006 X PHK76:45","W10004_0006 X PHK76",45,1.78435798833989,"PHK76"
"972",1.97999031076679,"W10004_0006 X PHK76:48","W10004_0006 X PHK76",48,1.97999031076679,"PHK76"
"973",2.12411850365379,"W10004_0006 X PHK76:51","W10004_0006 X PHK76",51,2.12411850365379,"PHK76"
"974",2.26093764441984,"W10004_0006 X PHK76:56","W10004_0006 X PHK76",56,2.26093764441984,"PHK76"
"975",2.30658243079105,"W10004_0006 X PHK76:60","W10004_0006 X PHK76",60,2.30658243079105,"PHK76"
"976",2.31749190077848,"W10004_0006 X PHK76:62","W10004_0006 X PHK76",62,2.31749190077848,"PHK76"
"977",2.32979457388837,"W10004_0006 X PHK76:69","W10004_0006 X PHK76",69,2.32979457388837,"PHK76"
"978",2.33089086175062,"W10004_0006 X PHK76:73","W10004_0006 X PHK76",73,2.33089086175062,"PHK76"
"979",2.33116394930111,"W10004_0006 X PHK76:76","W10004_0006 X PHK76",76,2.33116394930111,"PHK76"
"980",2.3313161628157,"W10004_0006 X PHK76:80","W10004_0006 X PHK76",80,2.3313161628157,"PHK76"
"981",2.33137356948545,"W10004_0006 X PHK76:83","W10004_0006 X PHK76",83,2.33137356948545,"PHK76"
"982",2.33142051168779,"W10004_0006 X PHK76:87","W10004_0006 X PHK76",87,2.33142051168779,"PHK76"
"983",2.33141503210787,"W10004_0006 X PHK76:90","W10004_0006 X PHK76",90,2.33141503210787,"PHK76"
"984",2.33148424706529,"W10004_0006 X PHK76:99","W10004_0006 X PHK76",99,2.33148424706529,"PHK76"
"985",2.33148942540599,"W10004_0006 X PHK76:101","W10004_0006 X PHK76",101,2.33148942540599,"PHK76"
"986",2.3314955692282,"W10004_0006 X PHK76:104","W10004_0006 X PHK76",104,2.3314955692282,"PHK76"
"987",2.33150017845461,"W10004_0006 X PHK76:107","W10004_0006 X PHK76",107,2.33150017845461,"PHK76"
"988",2.33150455601233,"W10004_0006 X PHK76:111","W10004_0006 X PHK76",111,2.33150455601233,"PHK76"
"989",2.33150686356178,"W10004_0006 X PHK76:114","W10004_0006 X PHK76",114,2.33150686356178,"PHK76"
"990",2.33142281783881,"W10004_0006 X PHK76:118","W10004_0006 X PHK76",118,2.33142281783881,"PHK76"
"991",2.33151043431408,"W10004_0006 X PHK76:122","W10004_0006 X PHK76",122,2.33151043431408,"PHK76"
"992",2.33151135186423,"W10004_0006 X PHK76:126","W10004_0006 X PHK76",126,2.33151135186423,"PHK76"
"993",0.0205062538289458,"W10004_0006 X PHP02:15","W10004_0006 X PHP02",15,0.0205062538289458,"PHP02"
"994",0.0378996826401064,"W10004_0006 X PHP02:17","W10004_0006 X PHP02",17,0.0378996826401064,"PHP02"
"995",0.121114159537164,"W10004_0006 X PHP02:22","W10004_0006 X PHP02",22,0.121114159537164,"PHP02"
"996",0.176009644561472,"W10004_0006 X PHP02:24","W10004_0006 X PHP02",24,0.176009644561472,"PHP02"
"997",0.288054821250219,"W10004_0006 X PHP02:27","W10004_0006 X PHP02",27,0.288054821250219,"PHP02"
"998",0.44023848028933,"W10004_0006 X PHP02:30","W10004_0006 X PHP02",30,0.44023848028933,"PHP02"
"999",0.564879912646089,"W10004_0006 X PHP02:32","W10004_0006 X PHP02",32,0.564879912646089,"PHP02"
"1000",0.947372152557335,"W10004_0006 X PHP02:37","W10004_0006 X PHP02",37,0.947372152557335,"PHP02"
"1001",1.11930087346945,"W10004_0006 X PHP02:39","W10004_0006 X PHP02",39,1.11930087346945,"PHP02"
"1002",1.29385268951379,"W10004_0006 X PHP02:41","W10004_0006 X PHP02",41,1.29385268951379,"PHP02"
"1003",1.62432694768799,"W10004_0006 X PHP02:45","W10004_0006 X PHP02",45,1.62432694768799,"PHP02"
"1004",1.83218164116351,"W10004_0006 X PHP02:48","W10004_0006 X PHP02",48,1.83218164116351,"PHP02"
"1005",1.99137666180201,"W10004_0006 X PHP02:51","W10004_0006 X PHP02",51,1.99137666180201,"PHP02"
"1006",2.14817670375608,"W10004_0006 X PHP02:56","W10004_0006 X PHP02",56,2.14817670375608,"PHP02"
"1007",2.20125839689136,"W10004_0006 X PHP02:60","W10004_0006 X PHP02",60,2.20125839689136,"PHP02"
"1008",2.21379263774806,"W10004_0006 X PHP02:62","W10004_0006 X PHP02",62,2.21379263774806,"PHP02"
"1009",2.22753033219225,"W10004_0006 X PHP02:69","W10004_0006 X PHP02",69,2.22753033219225,"PHP02"
"1010",2.22867632145482,"W10004_0006 X PHP02:73","W10004_0006 X PHP02",73,2.22867632145482,"PHP02"
"1011",2.22895346344362,"W10004_0006 X PHP02:76","W10004_0006 X PHP02",76,2.22895346344362,"PHP02"
"1012",2.2291061775219,"W10004_0006 X PHP02:80","W10004_0006 X PHP02",80,2.2291061775219,"PHP02"
"1013",2.22916360077384,"W10004_0006 X PHP02:83","W10004_0006 X PHP02",83,2.22916360077384,"PHP02"
"1014",2.22921054388729,"W10004_0006 X PHP02:87","W10004_0006 X PHP02",87,2.22921054388729,"PHP02"
"1015",2.22920506430737,"W10004_0006 X PHP02:90","W10004_0006 X PHP02",90,2.22920506430737,"PHP02"
"1016",2.22927427926479,"W10004_0006 X PHP02:99","W10004_0006 X PHP02",99,2.22927427926479,"PHP02"
"1017",2.22927945760549,"W10004_0006 X PHP02:101","W10004_0006 X PHP02",101,2.22927945760549,"PHP02"
"1018",2.2292856014277,"W10004_0006 X PHP02:104","W10004_0006 X PHP02",104,2.2292856014277,"PHP02"
"1019",2.22929021065411,"W10004_0006 X PHP02:107","W10004_0006 X PHP02",107,2.22929021065411,"PHP02"
"1020",2.22929458821183,"W10004_0006 X PHP02:111","W10004_0006 X PHP02",111,2.22929458821183,"PHP02"
"1021",2.22929689576128,"W10004_0006 X PHP02:114","W10004_0006 X PHP02",114,2.22929689576128,"PHP02"
"1022",2.22921285003831,"W10004_0006 X PHP02:118","W10004_0006 X PHP02",118,2.22921285003831,"PHP02"
"1023",2.22930046651358,"W10004_0006 X PHP02:122","W10004_0006 X PHP02",122,2.22930046651358,"PHP02"
"1024",2.22930138406373,"W10004_0006 X PHP02:126","W10004_0006 X PHP02",126,2.22930138406373,"PHP02"
"1025",0.019344206790043,"W10004_0006 X PHZ51:15","W10004_0006 X PHZ51",15,0.019344206790043,"PHZ51"
"1026",0.0372899699681653,"W10004_0006 X PHZ51:17","W10004_0006 X PHZ51",17,0.0372899699681653,"PHZ51"
"1027",0.122080838294869,"W10004_0006 X PHZ51:22","W10004_0006 X PHZ51",22,0.122080838294869,"PHZ51"
"1028",0.177494453370016,"W10004_0006 X PHZ51:24","W10004_0006 X PHZ51",24,0.177494453370016,"PHZ51"
"1029",0.289892951778374,"W10004_0006 X PHZ51:27","W10004_0006 X PHZ51",27,0.289892951778374,"PHZ51"
"1030",0.441641548037722,"W10004_0006 X PHZ51:30","W10004_0006 X PHZ51",30,0.441641548037722,"PHZ51"
"1031",0.565469982515865,"W10004_0006 X PHZ51:32","W10004_0006 X PHZ51",32,0.565469982515865,"PHZ51"
"1032",0.944580845330756,"W10004_0006 X PHZ51:37","W10004_0006 X PHZ51",37,0.944580845330756,"PHZ51"
"1033",1.11517110956052,"W10004_0006 X PHZ51:39","W10004_0006 X PHZ51",39,1.11517110956052,"PHZ51"
"1034",1.28888084170262,"W10004_0006 X PHZ51:41","W10004_0006 X PHZ51",41,1.28888084170262,"PHZ51"
