Var. Component,var1,var2,vcov,sdcor,Percent,RMSE,Heritability,Rsquared,Flight,Type
Pedigree,(Intercept),NA,8.61E-08,0.000293502,0.1521662,0.005462896,0.005324878,0.431513872,9,Single
Row,(Intercept),NA,1.35E-05,0.003667608,23.7608993,0.005462896,0.005324878,0.431513872,9,Single
Range,(Intercept),NA,1.09E-05,0.003300161,19.2383217,0.005462896,0.005324878,0.431513872,9,Single
Rep,(Intercept),NA,0,0,0,0.005462896,0.005324878,0.431513872,9,Single
Residual,NA,NA,3.22E-05,0.005672982,56.8486128,0.005462896,0.005324878,0.431513872,9,Single
Pedigree,(Intercept),NA,1.11E-06,0.001051791,5.7050661,0.003231753,0.154318711,0.374713846,10,Single
Row,(Intercept),NA,4.18E-06,0.002044627,21.5590574,0.003231753,0.154318711,0.374713846,10,Single
Range,(Intercept),NA,1.98E-06,0.00140687,10.2072611,0.003231753,0.154318711,0.374713846,10,Single
Rep,(Intercept),NA,0,0,0,0.003231753,0.154318711,0.374713846,10,Single
Residual,NA,NA,1.21E-05,0.003482079,62.5286154,0.003231753,0.154318711,0.374713846,10,Single
Pedigree,(Intercept),NA,6.02E-06,0.002454485,3.3319477,0.006706145,0.18356302,0.703608568,15,Single
Row,(Intercept),NA,5.17E-05,0.007189523,28.5875826,0.006706145,0.18356302,0.703608568,15,Single
Range,(Intercept),NA,6.80E-05,0.008243844,37.5869182,0.006706145,0.18356302,0.703608568,15,Single
Rep,(Intercept),NA,1.54E-06,0.001242923,0.8544083,0.006706145,0.18356302,0.703608568,15,Single
Residual,NA,NA,5.36E-05,0.007320558,29.6391432,0.006706145,0.18356302,0.703608568,15,Single
Pedigree,(Intercept),NA,1.22E-05,0.003493068,2.6059594,0.010377185,0.161386569,0.729172931,17,Single
Row,(Intercept),NA,0.000155624,0.01247492,33.2375637,0.010377185,0.161386569,0.729172931,17,Single
Range,(Intercept),NA,0.000167767,0.012952471,35.8310026,0.010377185,0.161386569,0.729172931,17,Single
Rep,(Intercept),NA,5.82E-06,0.002412226,1.2427674,0.010377185,0.161386569,0.729172931,17,Single
Residual,NA,NA,0.000126806,0.011260799,27.0827069,0.010377185,0.161386569,0.729172931,17,Single
Pedigree,(Intercept),NA,5.64E-05,0.007508833,3.876953,0.016501924,0.25015247,0.767571862,22,Single
Row,(Intercept),NA,0.000402788,0.020069575,27.6963148,0.016501924,0.25015247,0.767571862,22,Single
Range,(Intercept),NA,0.000643616,0.025369593,44.2560477,0.016501924,0.25015247,0.767571862,22,Single
Rep,(Intercept),NA,1.35E-05,0.003673423,0.9278706,0.016501924,0.25015247,0.767571862,22,Single
Residual,NA,NA,0.000338021,0.018385334,23.2428138,0.016501924,0.25015247,0.767571862,22,Single
Pedigree,(Intercept),NA,2.77E-05,0.005262418,5.6765211,0.011019706,0.266837974,0.688064662,24,Single
Row,(Intercept),NA,0.000192239,0.013865033,39.4051843,0.011019706,0.266837974,0.688064662,24,Single
Range,(Intercept),NA,9.90E-05,0.009951783,20.3008078,0.011019706,0.266837974,0.688064662,24,Single
Rep,(Intercept),NA,1.67E-05,0.004087033,3.4239531,0.011019706,0.266837974,0.688064662,24,Single
Residual,NA,NA,0.000152178,0.012336061,31.1935338,0.011019706,0.266837974,0.688064662,24,Single
Pedigree,(Intercept),NA,2.87E-05,0.005360409,5.1347213,0.013279522,0.212756435,0.620009023,27,Single
Row,(Intercept),NA,0.000288608,0.016988469,51.5738558,0.013279522,0.212756435,0.620009023,27,Single
Range,(Intercept),NA,2.96E-05,0.005442052,5.2923253,0.013279522,0.212756435,0.620009023,27,Single
Rep,(Intercept),NA,0,0,0,0.013279522,0.212756435,0.620009023,27,Single
Residual,NA,NA,0.000212644,0.014582302,37.9990977,0.013279522,0.212756435,0.620009023,27,Single
Pedigree,(Intercept),NA,3.94E-05,0.006276594,2.8074178,0.018695124,0.161346451,0.708149654,30,Single
Row,(Intercept),NA,0.000895688,0.029928055,63.8287021,0.018695124,0.161346451,0.708149654,30,Single
Range,(Intercept),NA,5.86E-05,0.007657705,4.1788455,0.018695124,0.161346451,0.708149654,30,Single
Rep,(Intercept),NA,0,0,0,0.018695124,0.161346451,0.708149654,30,Single
