"","grp","var1","var2","vcov","sdcor","Percent","Heritability","Rsquared","CV","Rmse","Trait","Type"
"1","Pedigree","(Intercept)",NA,2.32460994754236,1.52466715959332,54.8,0.74909017358262,0.753948131144601,0.012417258671609,0.653132262965568,"DTA","Single"
"2","Row","(Intercept)",NA,0.424358804914406,0.651428280714313,10,0.74909017358262,0.753948131144601,0.012417258671609,0.653132262965568,"DTA","Single"
"3","Range","(Intercept)",NA,0.17572365515286,0.419194054290922,4.1,0.74909017358262,0.753948131144601,0.012417258671609,0.653132262965568,"DTA","Single"
"4","Rep","(Intercept)",NA,0.271935038737351,0.521473909929683,6.4,0.74909017358262,0.753948131144601,0.012417258671609,0.653132262965568,"DTA","Single"
"5","Residual",NA,NA,1.04322316710841,1.02138296789618,24.6,0.74909017358262,0.753948131144601,0.012417258671609,0.653132262965568,"DTA","Single"
"6","Pedigree","(Intercept)",NA,2.85395293485742,1.68936465419915,54.1,0.739729826561194,0.732124939409348,0.0144760823079901,0.776242163203621,"DTS","Single"
"7","Row","(Intercept)",NA,0.324476791135363,0.569628643183752,6.2,0.739729826561194,0.732124939409348,0.0144760823079901,0.776242163203621,"DTS","Single"
"8","Range","(Intercept)",NA,0.284023224048095,0.532938292908377,5.4,0.739729826561194,0.732124939409348,0.0144760823079901,0.776242163203621,"DTS","Single"
"9","Rep","(Intercept)",NA,0.399991616411713,0.63244890419046,7.6,0.739729826561194,0.732124939409348,0.0144760823079901,0.776242163203621,"DTS","Single"
"10","Residual",NA,NA,1.41321858684563,1.18878870571924,26.8,0.739729826561194,0.732124939409348,0.0144760823079901,0.776242163203621,"DTS","Single"
"11","Pedigree","(Intercept)",NA,0.00551392121943962,0.07425578239733,4.2,0.597020152257319,0.92284513484285,0.0373091590984955,0.0806471057369036,"Asymptote","Single"
"12","Row","(Intercept)",NA,0.0025431234625393,0.050429390860284,2,0.597020152257319,0.92284513484285,0.0373091590984955,0.0806471057369036,"Asymptote","Single"
"13","Range","(Intercept)",NA,0.018565115125871,0.136253862792477,14.3,0.597020152257319,0.92284513484285,0.0373091590984955,0.0806471057369036,"Asymptote","Single"
"14","Rep","(Intercept)",NA,0.0935696109766659,0.305891501968698,71.8,0.597020152257319,0.92284513484285,0.0373091590984955,0.0806471057369036,"Asymptote","Single"
"15","Residual",NA,NA,0.0100486847876785,0.100243128381343,7.7,0.597020152257319,0.92284513484285,0.0373091590984955,0.0806471057369036,"Asymptote","Single"
"16","Pedigree","(Intercept)",NA,0.035781379873377,0.189159667670931,9,0.49547004656716,0.625274397541134,0.0751994008817472,0.338354702662133,"Growth rate","Single"
"17","Row","(Intercept)",NA,0.0243884889959443,0.156168143345384,6.2,0.49547004656716,0.625274397541134,0.0751994008817472,0.338354702662133,"Growth rate","Single"
"18","Range","(Intercept)",NA,0.141648185861599,0.376361775239727,35.8,0.49547004656716,0.625274397541134,0.0751994008817472,0.338354702662133,"Growth rate","Single"
"19","Rep","(Intercept)",NA,0.0458177607960054,0.214050836943016,11.6,0.49547004656716,0.625274397541134,0.0751994008817472,0.338354702662133,"Growth rate","Single"
"20","Residual",NA,NA,0.148407611967856,0.385237085400479,37.5,0.49547004656716,0.625274397541134,0.0751994008817472,0.338354702662133,"Growth rate","Single"
"21","Pedigree","(Intercept)",NA,0.928030230807832,0.963343257000241,18,0.596258348096915,0.669738443630592,0.0251873358239238,1.053417065493,"Inflection point","Single"
"22","Row","(Intercept)",NA,0.382904419314442,0.618792711103195,7.4,0.596258348096915,0.669738443630592,0.0251873358239238,1.053417065493,"Inflection point","Single"
"23","Range","(Intercept)",NA,0.454807146360559,0.674393910382173,8.8,0.596258348096915,0.669738443630592,0.0251873358239238,1.053417065493,"Inflection point","Single"
"24","Rep","(Intercept)",NA,1.68575509409527,1.29836631737552,32.7,0.596258348096915,0.669738443630592,0.0251873358239238,1.053417065493,"Inflection point","Single"
"25","Residual",NA,NA,1.7020028426429,1.3046083100467,33,0.596258348096915,0.669738443630592,0.0251873358239238,1.053417065493,"Inflection point","Single"
"26","Pedigree","(Intercept)",NA,149.775902559981,12.2382965546673,34.1,0.702622692327502,0.732124939409348,0.0311660427048732,7.23234499080858,"PHT","Single"
"27","Row","(Intercept)",NA,13.3168141359962,3.64922103139783,3,0.702622692327502,0.732124939409348,0.0311660427048732,7.23234499080858,"PHT","Single"
"28","Range","(Intercept)",NA,168.40695765396,12.977170633615,38.4,0.702622692327502,0.732124939409348,0.0311660427048732,7.23234499080858,"PHT","Single"
"29","Rep","(Intercept)",NA,0,0,0,0.702622692327502,0.732124939409348,0.0311660427048732,7.23234499080858,"PHT","Single"
"30","Residual",NA,NA,107.318166257656,10.3594481637612,24.5,0.702622692327502,0.732124939409348,0.0311660427048732,7.23234499080858,"PHT","Single"
