"","Data","Hybrid","Trait","Tester"
"50",8.28008342059041,"W10004_0006 X PHK76","Yield","PHK76"
"51",8.10447193836215,"W10004_0006 X PHP02","Yield","PHP02"
"52",8.27424936165975,"W10004_0006 X PHZ51","Yield","PHZ51"
"53",7.69741223176005,"W10004_0007 X PHK76","Yield","PHK76"
"54",8.68828860346457,"W10004_0007 X PHP02","Yield","PHP02"
"55",9.01537744861042,"W10004_0007 X PHZ51","Yield","PHZ51"
"56",8.6749501927255,"W10004_0008 X PHP02","Yield","PHP02"
"57",8.02631922007812,"W10004_0008 X PHZ51","Yield","PHZ51"
"58",7.18507008451296,"W10004_0010 X PHK76","Yield","PHK76"
"59",7.8368989465053,"W10004_0010 X PHP02","Yield","PHP02"
"60",7.03537378795968,"W10004_0010 X PHZ51","Yield","PHZ51"
"61",7.72691010395226,"W10004_0011 X PHK76","Yield","PHK76"
"62",8.9232941331568,"W10004_0011 X PHP02","Yield","PHP02"
"63",7.95070459905617,"W10004_0011 X PHZ51","Yield","PHZ51"
"64",7.92855981601069,"W10004_0013 X PHK76","Yield","PHK76"
"65",7.56757649811536,"W10004_0013 X PHP02","Yield","PHP02"
"66",8.00216248803205,"W10004_0013 X PHZ51","Yield","PHZ51"
"67",8.87124609556526,"W10004_0014 X PHK76","Yield","PHK76"
"68",8.2789558896728,"W10004_0014 X PHP02","Yield","PHP02"
"69",8.54550733583636,"W10004_0014 X PHZ51","Yield","PHZ51"
"70",7.78686946024537,"W10004_0018 X PHK76","Yield","PHK76"
"71",7.84087367139262,"W10004_0018 X PHP02","Yield","PHP02"
"72",8.27984791148583,"W10004_0018 X PHZ51","Yield","PHZ51"
"73",8.04731086088587,"W10004_0019X PHZ51","Yield","PHZ51"
"74",7.74564716687814,"W10004_0026 X PHK76","Yield","PHK76"
"75",8.80736835192111,"W10004_0026 X PHP02","Yield","PHP02"
"76",7.83601469854735,"W10004_0026 X PHZ51","Yield","PHZ51"
"77",7.87906130581293,"W10004_0027 X PHK76","Yield","PHK76"
"78",8.27064146552775,"W10004_0027 X PHP02","Yield","PHP02"
"79",7.68268782287427,"W10004_0027 X PHZ51","Yield","PHZ51"
"80",7.34473679821195,"W10004_0031 X PHK76","Yield","PHK76"
"81",7.67079076133079,"W10004_0031 X PHP02","Yield","PHP02"
"82",7.65819912506248,"W10004_0031 X PHZ51","Yield","PHZ51"
"83",6.82165012050622,"W10004_0032 X PHK76","Yield","PHK76"
"84",8.18410170841691,"W10004_0032 X PHP02","Yield","PHP02"
"85",7.42503494324278,"W10004_0032 X PHZ51","Yield","PHZ51"
"86",7.76242889759862,"W10004_0034 X PHK76","Yield","PHK76"
"87",7.76947951267436,"W10004_0034 X PHP02","Yield","PHP02"
"88",8.68672827597721,"W10004_0034 X PHZ51","Yield","PHZ51"
"89",8.42710079192945,"W10004_0035 X PHK76","Yield","PHK76"
"90",8.13868134455733,"W10004_0035 X PHP02","Yield","PHP02"
"91",7.87097216791604,"W10004_0035 X PHZ51","Yield","PHZ51"
"92",7.07778021089301,"W10004_0037 X PHK76","Yield","PHK76"
"93",7.92896566531596,"W10004_0037 X PHP02","Yield","PHP02"
"94",8.14665457939208,"W10004_0037 X PHZ51","Yield","PHZ51"
"95",7.54843630488919,"W10004_0038 X PHK76","Yield","PHK76"
"96",7.73042406381744,"W10004_0038 X PHZ51","Yield","PHZ51"
"97",8.2051321819904,"W10004_0039 X PHK76","Yield","PHK76"
"98",7.38408283209181,"W10004_0039 X PHP02","Yield","PHP02"
"99",7.57727983025657,"W10004_0039 X PHZ51","Yield","PHZ51"
"100",8.23406677033001,"W10004_0041 X PHK76","Yield","PHK76"
"101",8.42851563742348,"W10004_0041 X PHP02","Yield","PHP02"
"102",8.05770952394983,"W10004_0041 X PHZ51","Yield","PHZ51"
"103",7.94433450494165,"W10004_0042 X PHK76","Yield","PHK76"
"104",8.37240243185113,"W10004_0042 X PHP02","Yield","PHP02"
"105",8.23336664610933,"W10004_0042 X PHZ51","Yield","PHZ51"
"106",8.44232951743798,"W10004_0045 X PHK76","Yield","PHK76"
"107",8.11268315439308,"W10004_0045 X PHP02","Yield","PHP02"
"108",8.07619494854409,"W10004_0045 X PHZ51","Yield","PHZ51"
"109",7.87713583290845,"W10004_0046 X PHK76","Yield","PHK76"
"110",8.25882682000866,"W10004_0046 X PHP02","Yield","PHP02"
"111",8.42249183970574,"W10004_0046 X PHZ51","Yield","PHZ51"
"112",7.57555270136892,"W10004_0047 X PHK76","Yield","PHK76"
"113",7.88242970937049,"W10004_0047 X PHP02","Yield","PHP02"
"114",7.81485617329037,"W10004_0047 X PHZ51","Yield","PHZ51"
"115",8.22410227489787,"W10004_0053 X PHK76","Yield","PHK76"
