,Pedigree,Plot,Pollen Date,Silk Date,Pollen_DAP,Pollen_Cum_GDD [C],Silk_DAP,Silk_Cum_GDD [C]
0,W10004_0121 X PHZ51,1,2020-07-28,2020-07-31,57,839.155,60,880.93
1,W10004_0220 X PHZ51,2,2020-07-29,2020-07-29,58,854.905,58,854.905
2,W10004_0619 X PHZ51,3,2020-07-28,2020-07-27,57,839.155,56,824.49
3,W10004_0072 X PHZ51,4,2020-07-27,2020-07-27,56,824.49,56,824.49
4,W10004_1032 X PHZ51,5,2020-07-25,2020-07-25,54,792.1850000000001,54,792.1850000000001
5,W10004_0966 X PHZ51,6,2020-07-25,2020-07-26,54,792.1850000000001,55,808.74
6,W10004_0746 X PHZ51,7,2020-07-27,2020-07-28,56,824.49,57,839.155
7,W10004_0132 X PHZ51,8,2020-07-26,2020-07-28,55,808.74,57,839.155
8,TX714 X TX779,9,2020-08-05,2020-08-07,65,936.68,67,961.7649999999999
9,W10004_0956 X PHZ51,10,2020-07-26,2020-07-27,55,808.74,56,824.49
10,W10004_0806 X PHZ51,11,2020-07-27,2020-07-29,56,824.49,58,854.905
11,W10004_0138 X PHZ51,12,2020-07-25,2020-07-26,54,792.1850000000001,55,808.74
12,W10004_0153 X PHZ51,13,2020-07-25,2020-07-27,54,792.1850000000001,56,824.49
13,W10004_0729 X PHZ51,14,2020-07-28,2020-07-28,57,839.155,57,839.155
14,W10004_0982 X PHZ51,15,2020-07-25,2020-07-25,54,792.1850000000001,54,792.1850000000001
15,W10004_0262 X PHZ51,16,2020-07-24,2020-07-26,53,775.7700000000001,55,808.74
16,W10004_0264 X PHZ51,17,2020-07-25,2020-07-28,54,792.1850000000001,57,839.155
17,W10004_1011 X PHZ51,18,2020-07-26,2020-07-27,55,808.74,56,824.49
18,W10004_0106 X PHZ51,19,2020-07-24,2020-07-25,53,775.7700000000001,54,792.1850000000001
19,W10004_0859 X PHZ51,20,2020-07-25,2020-07-27,54,792.1850000000001,56,824.49
20,PHW52 X PHM49,21,2020-07-28,2020-07-31,57,839.155,60,880.93
21,W10004_0688 X PHZ51,22,2020-07-27,2020-07-31,56,824.49,60,880.93
22,W10004_0981 X PHZ51,23,2020-07-27,2020-07-28,56,824.49,57,839.155
23,W10004_1064 X PHZ51,24,2020-07-26,2020-07-27,55,808.74,56,824.49
24,W10004_0389 X PHZ51,25,2020-07-24,2020-07-25,53,775.7700000000001,54,792.1850000000001
25,W10004_1057 X PHZ51,26,2020-07-25,2020-07-27,54,792.1850000000001,56,824.49
26,W10004_0784 X PHZ51,27,2020-07-27,2020-07-30,56,824.49,59,869.155
27,B73 X PHN82,28,2020-07-27,2020-07-28,56,824.49,57,839.155
28,W10004_0984 X PHZ51,29,2020-07-24,2020-07-25,53,775.7700000000001,54,792.1850000000001
29,W10004_0362 X PHZ51,30,2020-07-24,2020-07-25,53,775.7700000000001,54,792.1850000000001
30,W10004_0624 X PHZ51,31,2020-07-23,2020-07-25,52,759.825,54,792.1850000000001
31,PHB47 X PHN82,32,2020-07-26,2020-07-29,55,808.74,58,854.905
32,W10004_0601 X PHZ51,33,2020-07-26,2020-07-27,55,808.74,56,824.49
