"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32"
"2369 X LH123HT",-2.67976540852162,-0.262008513639408,0.0111358839999494,-0.0534647173927682,0.0139950634280501,0.0174538975017356,0.00563570615909842,-0.00360247625558985,0.00174361752203135,-0.00137774577048135,-0.000521179741823491,-0.00273750424603884,-0.00106278078492074,0.000507806209446945,1.50594650999425e-06,-0.000162412215275076,7.06153664216669e-05,-5.97965710918968e-06,1.55392265167864e-06,-2.90291224305794e-06,1.39551088462753e-06,-6.80230008799632e-07,-4.56085438416132e-07,4.02993205916857e-07,4.49348274422778e-08,-2.27254764659235e-08,-4.38207065356355e-08,-6.77092461959239e-10,9.45630129756125e-10,-1.69510100400672e-11,8.29798729728992e-12,-3.29400395848722e-12
"B14A X H95",2.5051598097722,-1.5423783666744,1.25483712671517,0.014588276193733,-0.0454139067061773,-0.014288320631742,0.0192621034300696,0.00654692889729685,-0.00172643430987541,-0.000720810994978397,-0.00743643827380026,0.00228758939342047,0.00115731483288649,8.0433269683669e-05,0.000138366805936527,0.000646920490947042,-2.37330977949507e-05,-8.79179913182912e-05,-2.54567918117447e-05,-1.74449554757178e-05,-2.67071813002395e-06,-6.17514115258677e-08,4.77861180018385e-07,1.83446278504557e-07,3.49848314554202e-08,1.35099478465461e-07,-2.69477886394309e-08,-2.9534196798256e-09,-4.20957900482133e-10,-1.58011381756751e-11,-2.65472279575851e-10,-2.16319864798642e-10
"B14A X MO17",-4.18912526307036,-2.70314312590649,0.949016581366541,-0.587168659696657,-0.0246547680451642,-0.0140041450393632,0.015916713318981,0.0231733705251541,-0.00455029433497476,0.000234769374041932,-0.00803989540852966,0.00044447326540123,0.00221851508263948,0.000582166556910735,0.000280227198941441,0.000468402465208573,2.56695437172993e-05,-8.3385273173614e-05,-1.54790242965497e-05,-1.24536272138598e-05,-3.80560732254898e-06,1.85713122669018e-06,-8.98935349991081e-07,-1.47959187812852e-06,2.39314744909791e-07,2.64146906084339e-07,4.59109485984044e-08,1.54734951622604e-08,-5.11562997518311e-09,-5.09478181864864e-10,-6.77559675033024e-11,2.15580331364151e-12
"B14A X OH43",-1.91142758928447,-2.05585364850089,0.471821335585913,0.183320819392893,-0.0517350248683516,-0.00782344939636075,0.0225427569405837,0.0027408667420115,0.000518662162997861,-0.00149114824408163,-0.0129535648481821,-0.000452802620978646,-0.000661782163541888,0.000286657667552648,-5.35033422833786e-05,0.000275561412538067,2.51252736445662e-05,-1.78896594590361e-05,1.33952053435471e-06,-6.25941993878665e-06,1.64773351019054e-06,1.01882529722486e-06,5.86437037264353e-08,1.1196273860814e-07,1.99715007587198e-08,7.55456253803688e-08,-6.70893146592633e-09,-8.2748620698625e-09,3.09743997117806e-09,2.29866681245028e-11,8.34873975508188e-11,-4.47205675269124e-11
"B37 X H95",0.588831773048876,-2.1043312116311,2.20136124784893,0.339225745021087,0.0296192672370815,0.0749708616093985,0.0657864081995024,-0.00963664187169231,0.00328197302771252,-0.00488582759573384,-0.00171559316130996,-0.00817919504724456,-0.00377963252002695,0.000103387759494242,-0.000718908850447689,1.6786300291477e-05,-5.1498414392101e-05,1.09556884139786e-05,-4.65416958993076e-05,1.77554008739256e-05,1.0509502240269e-06,-2.70550689734222e-06,-1.87142309276966e-06,-1.16532639485301e-06,2.07062867949026e-07,-1.21351616588772e-07,1.02912523392007e-07,9.95074009389058e-09,4.43195549704178e-10,7.16379455756311e-11,-7.76503514265947e-11,5.07195292709373e-11
"B37 X MO17",-2.83371712662938,-1.84868562734734,0.957367705283779,-0.346012008398595,-0.0556823224129546,-0.0415923044990172,0.00239608144538786,0.0104756972482876,-0.00197374584306806,-2.66229845652666e-05,-0.00878209972656645,0.00449248369083645,-0.000352060168890125,-0.000358946061715659,-0.000107536115644513,-8.20381392879765e-05,3.18176541422577e-05,6.87266141942422e-05,4.02761391788825e-05,-2.10667502667239e-05,-3.62296271055884e-06,3.30335424769679e-06,1.69958035922679e-06,-1.18471929069774e-06,5.67607908452672e-08,1.25011227425365e-07,4.56729939701805e-08,-2.40141530619131e-09,-4.98876256971315e-09,-3.18792769959941e-10,-6.5314198494093e-11,1.96783422889979e-11
"B37 X OH43",-1.61318243917603,-1.07379964936825,0.53818660523046,-0.286705261939621,-0.00292447977433154,-0.000815723091827449,0.00816532445579204,0.00682401540634214,-0.000982193692507956,-0.000685002665137234,-2.64543151612439e-05,-0.000489051183094967,-0.00017715870299688,9.23581866257017e-05,-9.46837850295673e-05,-3.69941209725916e-05,1.7846939620314e-05,2.47146758898253e-05,1.2791263602277e-06,-1.46700559565394e-06,2.04054624255989e-06,-1.42305281540522e-06,-1.74978351905053e-07,4.17516487771774e-07,-1.14520852523281e-09,-1.18548098344828e-07,-3.66707635091057e-08,1.06858226607554e-09,8.45113007352793e-10,-7.39779765224213e-11,7.54757367715797e-12,-6.21566687009079e-12
"B73 X MO17",-7.45025150945877,-1.93877114834211,-0.457882750075697,-0.173370184682391,0.00789396751433911,0.00963375352855032,-0.00112038045594939,0.0077621505748198,-0.000518821152757698,-0.000372132855256085,-0.000516618914044156,0.000864495525798731,0.000689394271134014,-8.95388236348826e-05,3.34786438367929e-05,7.27024783016561e-05,-3.1371086479548e-05,-8.78155390893198e-06,-3.28256916157232e-06,8.35192192716327e-06,6.5225958167936e-07,-2.75164734164779e-07,-5.41128138520364e-07,1.10761958216354e-07,-4.12901030033552e-09,-1.28492502970978e-07,-2.70940894164795e-08,-6.33726726650963e-09,6.28482488274074e-10,-1.63752345017087e-12,9.84845538454238e-12,-4.87371254465074e-12
"B73 X PHM49",1.36057044996785,-0.906665749009665,-0.170350241976988,-0.105743759018392,0.0035875559254599,-0.00203313075551189,-0.00448761955301576,0.0037789606077584,2.24974922380392e-05,7.54435388811391e-05,0.00050688417417687,0.00115154575157777,0.000401348823954768,-0.000124417071762143,-3.34828149775243e-06,0.000107974396979287,-2.78628735294328e-05,-7.37271834788319e-06,-5.49409847542051e-06,5.30187146212044e-06,5.13308037151938e-07,-1.51519065514846e-07,-3.99567983786625e-07,2.9191435726994e-08,9.31998662273559e-09,-5.8937492653649e-08,-1.10156096744252e-08,-2.10244448283284e-09,2.50926904254989e-10,-7.49622586226906e-12,3.98008015434215e-12,-3.22064597213512e-12
"B73 X PHN82",0.963849884778406,-0.802012720857231,1.25355905678345,-0.401796553162319,-0.0782620088169163,-0.0489116644724995,0.0169172399816877,0.0204100772412444,-0.00567545543255048,0.000400992796143158,-0.000766903718516936,0.00138849303387764,0.00178690028470348,-0.000198800926512529,9.44091094900266e-05,0.000124594996917328,-5.64991011133623e-05,2.48369403166148e-05,1.01366767598825e-05,2.52713245929657e-06,1.44653321115969e-06,7.97625005834711e-07,4.32289991398813e-07,4.7442457416693e-07,-6.78612457200023e-08,2.44926626861985e-08,1.12878207241332e-08,-2.49237371800076e-09,-1.63584935528038e-10,3.01894837254069e-11,6.01215431605961e-12,7.6390152883854e-12
