"","grp","var1","var2","vcov","sdcor","Percent","RMSE","Repeatability","Rsquared","Trait"
"1","Pedigree:Flight","(Intercept)",NA,0.000427663240928754,0.0206800203319231,0.0116566630724741,0.0638928414660551,0.493458900616496,0.877459478784602,"Red"
"2","Pedigree","(Intercept)",NA,0.000213395460869241,0.0146080615027881,0.00581644329109518,0.0638928414660551,0.493458900616496,0.877459478784602,"Red"
"3","Row","(Intercept)",NA,6.9830878263286e-05,0.00835648719638139,0.00190335512166614,0.0638928414660551,0.493458900616496,0.877459478784602,"Red"
"4","Range","(Intercept)",NA,0.000119403783691907,0.0109272038368426,0.00325454596717845,0.0638928414660551,0.493458900616496,0.877459478784602,"Red"
"5","Flight","(Intercept)",NA,0.0313622099407992,0.177093788543809,0.854828471332187,0.0638928414660551,0.493458900616496,0.877459478784602,"Red"
"6","Rep","(Intercept)",NA,0,0,0,0.0638928414660551,0.493458900616496,0.877459478784602,"Red"
"7","Residual",NA,NA,0.00449580434145232,0.067050759439788,0.122540521215399,0.0638928414660551,0.493458900616496,0.877459478784602,"Red"
"8","Pedigree:Flight","(Intercept)",NA,0.000302218603954683,0.017384435681226,0.0111107056403598,0.0613967603323822,0.541427067582891,0.849825313160206,"Green"
"9","Pedigree","(Intercept)",NA,0.000232618919756488,0.0152518497159029,0.00855195646453438,0.0613967603323822,0.541427067582891,0.849825313160206,"Green"
"10","Row","(Intercept)",NA,6.18648281655393e-05,0.00786541977045976,0.00227438644161632,0.0613967603323822,0.541427067582891,0.849825313160206,"Green"
"11","Range","(Intercept)",NA,0.000176015917889241,0.0132670990758809,0.00647101477570961,0.0613967603323822,0.541427067582891,0.849825313160206,"Green"
"12","Flight","(Intercept)",NA,0.0223430970584415,0.149476075204166,0.821417249837985,0.0613967603323822,0.541427067582891,0.849825313160206,"Green"
"13","Rep","(Intercept)",NA,0,0,0,0.0613967603323822,0.541427067582891,0.849825313160206,"Green"
"14","Residual",NA,NA,0.00408485164445278,0.0639128441273957,0.150174686839794,0.0613967603323822,0.541427067582891,0.849825313160206,"Green"
"15","Pedigree:Flight","(Intercept)",NA,0.000657813676008351,0.0256478785868997,0.0200606768548759,0.0709779199667425,0.385306877168236,0.828263669703342,"Blue"
"16","Pedigree","(Intercept)",NA,0.000173772684529258,0.0131822867716211,0.00529936940760941,0.0709779199667425,0.385306877168236,0.828263669703342,"Blue"
"17","Row","(Intercept)",NA,8.13516758237047e-05,0.00901951638524509,0.00248089959181884,0.0709779199667425,0.385306877168236,0.828263669703342,"Blue"
"18","Range","(Intercept)",NA,0.000108568120874933,0.0104196027215501,0.00331089192737535,0.0709779199667425,0.385306877168236,0.828263669703342,"Blue"
"19","Flight","(Intercept)",NA,0.0261382538654816,0.161673293606216,0.797111831921662,0.0709779199667425,0.385306877168236,0.828263669703342,"Blue"
"20","Rep","(Intercept)",NA,0,0,0,0.0709779199667425,0.385306877168236,0.828263669703342,"Blue"
"21","Residual",NA,NA,0.00563144043213928,0.0750429239311694,0.171736330296658,0.0709779199667425,0.385306877168236,0.828263669703342,"Blue"
